latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
5.66176,32.21015,349.84,1.01,1.01,2026-01-02,0056,A,100,6.1NRT,294.61,61.84,N
5.65164,32.21769,315.66,1.01,1.01,2026-01-02,0056,A,92,6.1NRT,292.1,13.27,N
5.64285,32.2164,302.08,1.01,1.01,2026-01-02,0056,A,26,6.1NRT,291.58,4.08,N
5.64152,32.22523,316.6,1.01,1.01,2026-01-02,0056,A,93,6.1NRT,292.24,14.41,N
5.89103,30.17681,300.53,1.22,1.1,2026-01-02,0058,A,29,6.1NRT,289.87,6.13,N
6.12737,28.26727,313.71,1.66,1.27,2026-01-02,0058,A,88,6.1NRT,289.84,26.65,N
6.11627,28.26582,307.85,1.66,1.27,2026-01-02,0058,A,73,6.1NRT,290.78,19.1,N
6.10519,28.26427,318.07,1.66,1.27,2026-01-02,0058,A,96,6.1NRT,288.91,35.56,N
6.15937,27.79305,306.53,1.81,1.32,2026-01-02,0058,A,68,6.1NRT,286.75,20.35,N
6.14945,27.80082,303.21,1.81,1.32,2026-01-02,0058,A,54,6.1NRT,287.02,14.4,N
6.02255,28.36283,302.67,1.63,1.26,2026-01-02,0058,A,20,6.1NRT,288.62,11.58,N
6.01155,28.36138,304.11,1.63,1.26,2026-01-02,0058,A,33,6.1NRT,288.13,13.05,N
5.80469,28.2034,301.02,1.66,1.27,2026-01-02,0058,A,37,6.1NRT,287.29,11.29,N
5.54857,29.44397,311.19,1.34,1.15,2026-01-02,0058,A,50,6.1NRT,288.91,15.98,N
5.53852,29.44261,308.44,1.34,1.15,2026-01-02,0058,A,53,6.1NRT,288.8,13.59,N
5.54017,29.43614,304.77,1.34,1.15,2026-01-02,0058,A,48,6.1NRT,289.13,10.45,N
5.53844,29.4478,300.33,1.34,1.15,2026-01-02,0058,A,7,6.1NRT,288.3,6.62,N
5.64368,28.66321,306.78,1.53,1.22,2026-01-02,0058,A,69,6.1NRT,288.07,16.34,N
5.50981,29.50322,323,1.33,1.14,2026-01-02,0058,A,100,6.1NRT,287.83,32.99,N
5.50812,29.51472,303.17,1.32,1.14,2026-01-02,0058,A,54,6.1NRT,287.33,9.4,N
5.66902,28.25972,312.84,1.64,1.26,2026-01-02,0058,A,86,6.1NRT,288.13,27.09,N
5.65802,28.25818,318.63,1.64,1.26,2026-01-02,0058,A,97,6.1NRT,289.22,36.95,N
5.5885,28.66913,313.95,1.52,1.22,2026-01-02,0058,A,88,6.1NRT,289.29,25.51,N
5.61035,28.43741,303.66,1.58,1.24,2026-01-02,0058,A,56,6.1NRT,287.74,13.89,N
4.81027,31.84241,310.35,1.02,1.01,2026-01-02,0058,A,80,6.1NRT,291.31,10.41,N
4.73252,32.29895,313.67,1,1,2026-01-02,0058,A,88,6.1NRT,291.57,12.53,N
4.70755,32.28635,302.33,1,1,2026-01-02,0058,A,48,6.1NRT,291.05,5.23,N
-1.36458,29.14348,323.21,1.14,1.07,2026-01-02,0100,A,100,6.1NRT,278.82,27.8,N
-1.36611,29.15346,383.35,1.14,1.06,2026-01-02,0100,A,100,6.1NRT,299.54,205.38,N
-1.36765,29.16352,328.84,1.14,1.06,2026-01-02,0100,A,58,6.1NRT,290.71,34.19,N
-1.37389,29.14213,302.1,1.14,1.07,2026-01-02,0100,A,21,6.1NRT,274.4,7.87,N
-1.37542,29.15218,315.85,1.14,1.06,2026-01-02,0100,A,92,6.1NRT,277.45,18.68,N
-1.37697,29.16232,324,1.14,1.06,2026-01-02,0100,A,79,6.1NRT,281.24,26.45,N
-1.37853,29.17254,334.85,1.14,1.06,2026-01-02,0100,A,100,6.1NRT,286.26,44.12,N
-1.38628,29.16115,325.61,1.14,1.06,2026-01-02,0100,A,91,6.1NRT,278.5,28.68,N
-1.38784,29.17142,336.31,1.14,1.06,2026-01-02,0100,A,100,6.1NRT,284.05,45.69,N
-1.3894,29.18166,342.55,1.14,1.06,2026-01-02,0100,A,100,6.1NRT,285.94,58.04,N
-1.39096,29.19193,320.53,1.14,1.06,2026-01-02,0100,A,20,6.1NRT,279.69,21.86,N
-1.3925,29.20206,313.81,1.13,1.06,2026-01-02,0100,A,56,6.1NRT,273.33,16.29,N
-1.39398,29.21179,308.24,1.13,1.06,2026-01-02,0100,A,74,6.1NRT,270.57,13.27,N
-1.40033,29.19126,323.79,1.14,1.06,2026-01-02,0100,A,0,6.1NRT,275.83,22.8,N
-1.40186,29.20136,395.46,1.13,1.06,2026-01-02,0100,A,100,6.1NRT,280.31,271.01,N
-1.40334,29.21113,427.02,1.13,1.06,2026-01-02,0100,A,100,6.1NRT,296.18,549.88,N
-1.40473,29.22032,313.76,1.13,1.06,2026-01-02,0100,A,51,6.1NRT,272.66,16.69,N
-1.40961,29.19002,327.27,1.14,1.06,2026-01-02,0100,A,48,6.1NRT,272.99,28.66,N
-1.41111,29.19999,372.19,1.13,1.06,2026-01-02,0100,A,100,6.1NRT,275.29,146.48,N
-1.41261,29.20988,387.52,1.13,1.06,2026-01-02,0100,A,100,6.1NRT,282.31,223.78,N
-1.41401,29.21913,317.1,1.13,1.06,2026-01-02,0100,A,49,6.1NRT,272.57,19.46,N
-1.42036,29.19857,316.77,1.13,1.06,2026-01-02,0100,A,67,6.1NRT,274.05,18.77,N
-18.4285,26.52576,303.95,1.03,1.01,2026-01-02,0104,A,24,6.1NRT,292.77,4.67,N
-18.43591,26.51484,307.53,1.03,1.01,2026-01-02,0104,A,72,6.1NRT,291.6,7.24,N
9.06537,-66.71955,306.64,1.12,1.06,2026-01-02,0134,T,66,6.1NRT,294.18,6.31,N
9.39092,-64.54582,304.76,1.55,1.23,2026-01-02,0134,T,61,6.1NRT,292.75,8.28,N
9.13689,-67.01491,309.33,1.09,1.04,2026-01-02,0134,T,75,6.1NRT,293.77,8.28,N
8.91206,-69.07462,307.92,1,1,2026-01-02,0134,T,73,6.1NRT,293.03,6.89,N
8.91083,-69.08347,305.63,1,1,2026-01-02,0134,T,65,6.1NRT,293.39,5.37,N
9.62234,-63.71995,308.16,1.8,1.32,2026-01-02,0134,T,74,6.1NRT,288.76,20.59,N
9.19293,-67.62886,305.65,1.04,1.02,2026-01-02,0134,T,62,6.1NRT,294.51,4.78,N
9.34118,-68.89941,304.57,1,1,2026-01-02,0134,T,61,6.1NRT,291.75,4.7,N
9.68237,-66.99896,310.42,1.11,1.05,2026-01-02,0134,T,78,6.1NRT,294.94,8.27,N
9.57879,-67.83834,310.23,1.03,1.02,2026-01-02,0134,T,65,6.1NRT,296.07,6.79,N
9.57757,-67.84741,313.35,1.03,1.01,2026-01-02,0134,T,86,6.1NRT,296.07,9.46,N
9.52621,-68.29045,305.94,1.01,1,2026-01-02,0134,T,63,6.1NRT,294.05,4.62,N
10.05263,-64.85928,303.63,1.5,1.21,2026-01-02,0134,T,3,6.1NRT,293.18,5.77,N
10.05988,-64.88702,304.81,1.49,1.21,2026-01-02,0134,T,13,6.1NRT,293.28,6.79,N
9.69244,-67.95924,307.03,1.03,1.01,2026-01-02,0134,T,70,6.1NRT,293.92,6.17,N
10.31633,-75.49035,303.76,2.25,1.45,2026-01-02,0134,T,54,6.1NRT,292.79,14.41,N
22.51679,-80.35758,335.58,3.03,1.66,2026-01-02,0138,T,100,6.1NRT,283.71,198.31,N
22.51144,-80.38564,324.98,3.05,1.66,2026-01-02,0138,T,100,6.1NRT,282.91,130.77,N
22.5187,-80.36457,337.23,3.03,1.66,2026-01-02,0138,T,100,6.1NRT,283.3,211.95,N
22.51316,-80.39256,304.87,3.05,1.66,2026-01-02,0138,T,62,6.1NRT,282.3,46.63,N
26.60855,101.75356,302.84,1.57,1.23,2026-01-02,0215,T,54,6.1NRT,287.1,10.9,D
23.34903,100.74669,303.25,1.66,1.27,2026-01-02,0215,T,55,6.1NRT,283.75,15.52,D
16.20038,102.63142,309.95,1.07,1.03,2026-01-02,0217,T,64,6.1NRT,297.31,6.45,D
15.66926,106.06427,312.77,1.1,1.05,2026-01-02,0217,T,70,6.1NRT,297.42,8.87,D
15.34253,104.66224,305.95,1.01,1.01,2026-01-02,0217,T,49,6.1NRT,295.7,3.96,D
15.58052,102.2401,309.62,1.09,1.04,2026-01-02,0217,T,61,6.1NRT,297.61,5.49,D
15.04458,104.92683,308.05,1.03,1.01,2026-01-02,0217,T,56,6.1NRT,297.35,3.95,D
14.74809,106.8704,314.64,1.24,1.11,2026-01-02,0217,T,74,6.1NRT,300.13,10.45,D
15.07335,101.4916,308.62,1.17,1.08,2026-01-02,0217,T,58,6.1NRT,294.66,7.03,D
13.78978,106.95636,322.42,1.3,1.13,2026-01-02,0217,T,81,6.1NRT,293.84,25.49,D
13.77987,106.95481,309.26,1.3,1.13,2026-01-02,0217,T,39,6.1NRT,292.16,7.9,D
13.95147,104.76142,308.4,1.03,1.01,2026-01-02,0217,T,59,6.1NRT,297.42,5.74,D
13.96001,103.09671,314.26,1.01,1.01,2026-01-02,0217,T,69,6.1NRT,299.27,6.33,D
13.40924,106.15635,336.73,1.18,1.08,2026-01-02,0219,T,89,6.1NRT,297.21,46.88,D
13.40763,106.16685,311.94,1.18,1.08,2026-01-02,0219,T,68,6.1NRT,295.74,11.77,D
13.48412,104.85921,310.91,1.04,1.02,2026-01-02,0219,T,64,6.1NRT,299.6,6.08,D
13.54698,102.81979,320.4,1.02,1.01,2026-01-02,0219,T,77,6.1NRT,299.89,13.39,D
13.54569,102.82895,310.49,1.02,1.01,2026-01-02,0219,T,51,6.1NRT,297.92,4.84,D
12.95798,105.16474,310.8,1.08,1.04,2026-01-02,0219,T,64,6.1NRT,298.57,6.95,D
12.67479,106.25539,310.88,1.22,1.1,2026-01-02,0219,T,66,6.1NRT,297.67,7.97,D
13.31337,101.36364,308.33,1.14,1.06,2026-01-02,0219,T,57,6.1NRT,297.57,4.59,D
11.7524,105.50655,318.01,1.14,1.07,2026-01-02,0219,T,75,6.1NRT,300.88,11.71,D
11.62783,103.97568,313.23,1.02,1.01,2026-01-02,0219,T,64,6.1NRT,297.97,7.67,D
11.47551,104.82507,317.34,1.07,1.03,2026-01-02,0219,T,74,6.1NRT,298.84,10.93,D
11.62609,103.03671,307.22,1,1,2026-01-02,0219,T,39,6.1NRT,297,3.86,D
11.20741,103.95358,312.16,1.02,1.01,2026-01-02,0219,T,67,6.1NRT,295.44,9.4,D
11.20609,103.96261,309.74,1.02,1.01,2026-01-02,0219,T,62,6.1NRT,294.66,7.67,D
10.62007,107.12576,308.59,1.49,1.2,2026-01-02,0219,T,58,6.1NRT,293.65,7.12,D
10.75904,103.80149,309.03,1.02,1.01,2026-01-02,0219,T,44,6.1NRT,297.76,3.91,D
28.84226,22.12529,331.99,2.74,1.58,2026-01-02,0230,A,100,6.1NRT,278,159.01,N
11.84986,7.0591,303.49,1.18,1.08,2026-01-02,0234,A,30,6.1NRT,289.35,7.82,N
29.0734,19.0698,307.19,1.66,1.27,2026-01-02,0230,A,71,6.1NRT,277.3,26.84,N
28.83646,22.15175,321.77,2.75,1.59,2026-01-02,0230,A,100,6.1NRT,277.33,107.79,N
11.84039,7.05786,303.01,1.18,1.08,2026-01-02,0234,A,23,6.1NRT,289.94,7.28,N
28.83568,22.11874,317.68,2.74,1.58,2026-01-02,0230,A,95,6.1NRT,276.87,87.62,N
11.68494,5.21557,305.31,1.54,1.22,2026-01-02,0234,A,64,6.1NRT,292.92,11.95,N
28.83006,22.14516,327.78,2.75,1.59,2026-01-02,0230,A,100,6.1NRT,277.55,134.42,N
9.60536,13.94089,306.44,1.7,1.28,2026-01-02,0234,A,68,6.1NRT,293.94,13.04,N
9.60275,13.95664,303.47,1.7,1.28,2026-01-02,0234,A,41,6.1NRT,292.54,9.59,N
10.58377,5.84956,304.01,1.34,1.15,2026-01-02,0234,A,58,6.1NRT,288.77,10.4,N
10.57374,5.84808,321.45,1.34,1.15,2026-01-02,0234,A,100,6.1NRT,288.79,31.19,N
10.55927,5.13625,302.4,1.5,1.21,2026-01-02,0234,A,49,6.1NRT,291.83,9.74,N
10.50331,5.54719,303.73,1.4,1.17,2026-01-02,0234,A,57,6.1NRT,291.09,10.27,N
10.38618,5.72388,310.5,1.36,1.16,2026-01-02,0234,A,80,6.1NRT,291.97,16.14,N
9.4457,6.38342,307.12,1.21,1.09,2026-01-02,0234,A,70,6.1NRT,286.91,9.98,N
9.44421,6.39407,332.04,1.2,1.09,2026-01-02,0234,A,100,6.1NRT,288.68,41.57,N
9.43978,6.38778,322.88,1.2,1.09,2026-01-02,0234,A,100,6.1NRT,287.9,27.98,N
9.43823,6.39838,307.52,1.2,1.09,2026-01-02,0234,A,72,6.1NRT,286.86,11.04,N
8.34155,11.10639,300.44,1.15,1.07,2026-01-02,0234,A,8,6.1NRT,289.68,4.65,N
7.44044,10.47518,302.21,1.1,1.05,2026-01-02,0236,A,47,6.1NRT,289.46,5.91,N
-6.06843,11.36462,305.68,1.98,1.37,2026-01-02,0238,A,31,6.1NRT,292.62,15.25,N
28.9153,19.7689,318.18,1.87,1.34,2026-01-02,0230,A,96,6.1NRT,277.36,53.35,N
28.91168,19.78735,326.84,1.87,1.34,2026-01-02,0230,A,100,6.1NRT,278.78,76.18,N
27.98543,19.90919,301.43,2,1.38,2026-01-02,0230,A,41,6.1NRT,275.84,25.55,N
-18.99657,-174.77391,320.72,2.09,1.41,2026-01-02,0321,A,69,6.1NRT,296.5,45.53,D
31.84661,-101.80637,300.23,1.2,1.09,2026-01-02,0319,T,22,6.1NRT,284.17,8.41,N
30.45605,78.60242,304.57,1.41,1.18,2026-01-02,0351,T,59,6.1NRT,283.54,14.07,D
19.09404,82.16759,304.42,1.1,1.05,2026-01-02,0355,T,59,6.1NRT,294.41,5.04,D
25.24824,91.73502,303.41,3.75,1.81,2026-01-02,0351,T,56,6.1NRT,289.17,45.14,D
25.25468,91.7296,301.56,3.75,1.81,2026-01-02,0353,T,48,6.1NRT,288.9,36.73,D
23.76116,86.40775,304.6,1.66,1.27,2026-01-02,0353,T,54,6.1NRT,290.29,10.29,D
23.76103,86.40138,306.2,1.66,1.27,2026-01-02,0353,T,23,6.1NRT,290.89,11.49,D
23.67649,86.0928,304.9,1.58,1.24,2026-01-02,0353,T,57,6.1NRT,288.92,11.52,D
23.16501,82.33961,309.97,1.04,1.02,2026-01-02,0353,T,69,6.1NRT,290.39,9.86,D
22.97352,78.96859,300.96,1.11,1.05,2026-01-02,0353,T,43,6.1NRT,289.34,4.57,D
22.32308,82.58549,306.03,1.07,1.03,2026-01-02,0353,T,63,6.1NRT,294.09,5.13,D
22.32323,82.52378,305.61,1.06,1.03,2026-01-02,0353,T,42,6.1NRT,293.49,4.68,D
22.04265,83.72772,324.08,1.21,1.09,2026-01-02,0353,T,83,6.1NRT,294.09,27.31,D
22.04085,83.73904,324.9,1.21,1.09,2026-01-02,0353,T,83,6.1NRT,295.59,28.5,D
21.91726,83.35133,304.79,1.16,1.07,2026-01-02,0353,T,60,6.1NRT,293.57,5.49,D
21.78125,83.83199,303.55,1.23,1.1,2026-01-02,0353,T,31,6.1NRT,292.26,5.69,D
21.77731,83.83658,304.57,1.23,1.1,2026-01-02,0353,T,35,6.1NRT,292.4,5.92,D
20.96611,86.01582,310.93,1.76,1.3,2026-01-02,0353,T,71,6.1NRT,292.61,20.7,D
19.95071,74.70872,303.77,1.87,1.34,2026-01-02,0355,T,41,6.1NRT,291.84,9.91,D
20.74582,84.30428,303.43,1.36,1.15,2026-01-02,0353,T,56,6.1NRT,291.28,7.66,D
20.74375,84.3169,311.3,1.36,1.16,2026-01-02,0353,T,71,6.1NRT,290.96,15.73,D
20.76019,81.73375,305.86,1.03,1.02,2026-01-02,0353,T,62,6.1NRT,292.76,5.11,D
19.796,74.95908,304.19,1.79,1.31,2026-01-02,0355,T,56,6.1NRT,291.42,10.56,D
21.59707,72.9711,303.83,2.68,1.57,2026-01-02,0353,T,57,6.1NRT,291.5,16.27,D
19.45601,76.2281,305.16,1.44,1.19,2026-01-02,0355,T,55,6.1NRT,289.9,8.71,D
19.46445,75.65664,317.18,1.57,1.24,2026-01-02,0355,T,77,6.1NRT,292.62,26.1,D
19.34823,76.27521,303.27,1.42,1.18,2026-01-02,0355,T,45,6.1NRT,292.16,6.17,D
19.15806,77.1685,314.96,1.24,1.11,2026-01-02,0355,T,70,6.1NRT,291.13,15.61,D
19.24924,75.83484,305.65,1.52,1.22,2026-01-02,0355,T,59,6.1NRT,292.29,9.17,D
18.77661,74.59013,303.13,1.84,1.33,2026-01-02,0355,T,44,6.1NRT,291.02,8.16,D
18.64399,74.15044,302.56,1.98,1.37,2026-01-02,0355,T,38,6.1NRT,291.39,9.17,D
18.4528,75.21909,303.73,1.64,1.26,2026-01-02,0355,T,48,6.1NRT,292.63,6.9,D
18.68753,73.04394,304.98,2.41,1.5,2026-01-02,0355,T,55,6.1NRT,293.64,15.66,D
18.18068,75.39172,304.78,1.58,1.24,2026-01-02,0355,T,52,6.1NRT,292.79,7.95,D
18.17899,75.40619,303.46,1.57,1.24,2026-01-02,0355,T,44,6.1NRT,293.11,6.51,D
17.75081,77.06211,306.59,1.22,1.1,2026-01-02,0355,T,55,6.1NRT,294.71,5.28,D
